,text,label,Text_Summary,sentence_count_T5,Lex_Summary,Rouge_Scores_Text_Summary,Rouge_Scores_Lex_Summary,Bert_Scores_T5,Bert_Scores_Lex
0,"PUBLISHED : Sunday, 20 February, 2000, 12:00am
The interview | South China Morning Post
Hariprasad Chaurasia is one of India's most acclaimed musicians and is often credited with introducing Indian classical music to Western ears. He plays the north Indian bamboo flute, an unpromising piece of low-tech equipment, from which he manages to coax sounds of such a heavenly nature that audiences are transported into extraordinary raptures. In 1986, he played for 28 hours at a festival in Paris because his fans refused to let him leave. If you wish to experience this phenomenon for yourself, he is appearing in Hong Kong this Friday at the Convention and Exhibition Centre as part of a cultural and trade event called India Into The New Millennium.
Chaurasia lives in what is now known as Mumbai (formerly Bombay), and as I happened to be visiting that city over Lunar New Year, I decided to pay him a visit. Early one recent morning, therefore, I headed for the city's northern suburbs in a taxi. I was hoping that the driver might provide some analysis of the famous musician's art but, alas, it turned out that he'd never heard of Chaurasia. He observed my backseat imitation of a flautist for a while, then queried, doubtfully, 'Music wallah?'  The 'music wallah' was eating almonds and papaya when I arrived. He is 61, twinkly, courteous and more apparently at ease with himself than most people I've met in a professional capacity. He seemed happy to have a stranger sitting in his front room and he chatted with great amiability; being interviewed was evidently something he slotted seamlessly into his existence, between telephone calls, trips upstairs to talk to unseen relatives and servants, and food.
I liked this attitude. For me, it was a restful way to start the day: drinking masala tea, listening to the evocative Indian sounds of sweeping and birds through the balcony door, and watching the master pad around in his bare feet, sharing contented observations about his life. Occasionally, he peered into my notebook and cried, 'What handwriting! So powerful!' Later, when I was bitten by mosquitoes, he produced a brown bottle of liquid as a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",0,"PUBLISHED : Sunday, 20 February, 2000, 12:00am The interview | South China Morning Post Hariprasad Chaurasia is one of India's most acclaimed musicians and is often credited with introducing Indian classical music to Western ears.He plays the north Indian bamboo flute, an unpromising piece of low-tech equipment, from which he manages to coax sounds of such a heavenly nature that audiences are transported into extraordinary raptures.In 1986, he played for 28 hours at a festival in Paris because his fans refused to let him leave.If you wish to experience this phenomenon for yourself, he is appearing in Hong Kong this Friday at the Convention and Exhibition Centre as part of a cultural and trade event called India Into The New Millennium.Chaurasia lives in what is now known as Mumbai (formerly Bombay), and as I happened to be visiting that city over Lunar New Year, I decided to pay him a visit.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",5,"PUBLISHED : Sunday, 20 February, 2000, 12:00am The interview | South China Morning Post Hariprasad Chaurasia is one of India's most acclaimed musicians and is often credited with introducing Indian classical music to Western ears.He plays the north Indian bamboo flute, an unpromising piece of low-tech equipment, from which he manages to coax sounds of such a heavenly nature that audiences are transported into extraordinary raptures.In 1986, he played for 28 hours at a festival in Paris because his fans refused to let him leave.If you wish to experience this phenomenon for yourself, he is appearing in Hong Kong this Friday at the Convention and Exhibition Centre as part of a cultural and trade event called India Into The New Millennium.Chaurasia lives in what is now known as Mumbai (formerly Bombay), and as I happened to be visiting that city over Lunar New Year, I decided to pay him a visit.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","{'rouge1': Score(precision=0.9753086419753086, recall=0.21467391304347827, fmeasure=0.35189309576837413), 'rouge2': Score(precision=0.875, recall=0.1907356948228883, fmeasure=0.31319910514541394), 'rougeL': Score(precision=0.9629629629629629, recall=0.21195652173913043, fmeasure=0.34743875278396436)}","{'rouge1': Score(precision=1.0, recall=0.42391304347826086, fmeasure=0.5954198473282443), 'rouge2': Score(precision=1.0, recall=0.4223433242506812, fmeasure=0.5938697318007663), 'rougeL': Score(precision=1.0, recall=0.42391304347826086, fmeasure=0.5954198473282443)}","(tensor(0.0640), tensor(0.0640), tensor(0.0640))","(tensor(0.0640), tensor(0.0640), tensor(0.0640))"
1,"PREFERRED By KEVIN FREKING It's not easy figuring out exactly what U.S. voters want when it comes to health care. A Gallup poll released early this fall offered a dozen separate ways  to expand health insurance coverage. Each suggestion garnered majority support, including tax breaks for small businesses, 94 percent; requiring large companies to offer health coverage or pay into a pool, 81 percent; and federal subsidies for the poor, 76 percent. The implication was clear: The public wants change. But two weeks ago, Gallup released another poll. That poll showed most Americans are satisfied with their health coverage and with how much they pay for health care. So what gives? The polls demonstrate the long-standing conflict that has dogged every proposed overhaul of the health care system dating back to Harry Truman, president until 1953. Americans support the principle of extending coverage to millions of  people, but only so long as they are not negatively affected by the potential trade-offs, namely higher costs or reduced access. And that's the dilemma for the presidential candidates. Expanding health insurance to the 47 million uninsured is projected to cost more than {dollar}100 billion (?69 billion) annually. The candidates have to find a way to pay for that expense. But it could be a political death knell to suggest that the average voter pay for it. Democratic presidential candidates have found one way to finesse it. Former Senator John Edwards would raise taxes for those households with incomes exceeding {dollar}200,000 (?136,000) a year. Senators Hillary Clinton and Barack Obama would raise taxes for households with incomes exceeding {dollar}250,000 (?170,000) a year. The median household income in the United States is {dollar}48,200 (?33,000), so the vast majority of voters would be spared. ""If you're in politics you can't go {dollar}1 (68 euro cents) below {dollar}200,000 (?136,000) on the income tax or you really start losing people,"" said Robert Blendon, professor of health policy and political analysis at Harvard University. The Democratic candidates don't just ask the wealthy to pay for expanding coverage. They also calculate that widespread adoption of electronic health records will help pay for it. For example, they cite a study by the RAND Corporation, a think tank, claiming that electronic  health records could save {dollar}77 billion (?52 billion) a year. But many health analysts don't buy it. ""The Republicans are going to save money that way. The Democrats are  going to save money that way. But I don't see any evidence from the literature that's going to happen,"" said Michael Tanner, director of health and welfare studies at the Cato Institute, a libertarian think tank. If those savings don't occur, the candidates will have to find other  sources of revenue for their proposals, Tanner said. Both Clinton and Obama have called for employers to pay for some of their workers' health insurance, or pay a certain percentage of the company's payroll into a fund. But nowhere do they spell out that percentage. That's an important omission. The additional costs could force some employers to lay off workers, which won't sit well with voters. Edwards  said the rate paid into the pool would be 6 percent of payroll. Meanwhile, the Republican candidates generally rely on tax breaks to  make insurance more affordable. All of the Republican candidates reject  the idea of employer and individual mandates - even Mitt Romney, who was governor of Massachusetts when that state approved a health plan requiring people to buy health insurance. Republican Senator John McCain calls for an individual refundable tax credit of {dollar}2,500 (?1,700) for individuals and {dollar}5,000 (?3,400) for families with insurance coverage. With a tax credit, the amount of taxes owed is reduced by {dollar}1 (68 euro cents) for every {dollar}1 in credits. Rudy Giuliani proposes an income tax deduction of up to {dollar}7,500 (?5,100) for individuals and {dollar}15,000 (?10,200) for families who purchase insurance in the individual m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",0,"The candidates have to find a way to pay for that expense.But many health analysts don't buy it.Both Clinton and Obama have called for employers to pay for some of their workers' health insurance, or pay a certain percentage of the company's payroll into a fund.Republican Senator John McCain calls for an individual refundable tax credit of {dollar}2,500 (?1,700) for individuals and {dollar}5,000 (?3,400) for families with insurance coverage.With a tax credit, the amount of taxes owed is reduced by {dollar}1 (68 euro cents) for every {dollar}1 in credits.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",5,"The candidates have to find a way to pay for that expense.But many health analysts don't buy it.Both Clinton and Obama have called for employers to pay for some of their workers' health insurance, or pay a certain percentage of the company's payroll into a fund.Republican Senator John McCain calls for an individual refundable tax credit of {dollar}2,500 (?1,700) for individuals and {dollar}5,000 (?3,400) for families with insurance coverage.With a tax credit, the amount of taxes owed is reduced by {dollar}1 (68 euro cents) for every {dollar}1 in credits.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ","{'rouge1': Score(precision=0.9827586206896551, recall=0.08272859216255443, fmeasure=0.15261044176706828), 'rouge2': Score(precision=0.8596491228070176, recall=0.07122093023255814, fmeasure=0.13154362416107382), 'rougeL': Score(precision=0.9655172413793104, recall=0.08127721335268505, fmeasure=0.1499330655957162)}","{'rouge1': Score(precision=1.0, recall=0.14949201741654572, fmeasure=0.2601010101010101), 'rouge2': Score(precision=0.9803921568627451, recall=0.14534883720930233, fmeasure=0.25316455696202533), 'rougeL': Score(precision=1.0, recall=0.14949201741654572, fmeasure=0.2601010101010101)}","(tensor(0.0374), tensor(0.0374), tensor(0.0374))","(tensor(0.0374), tensor(0.0374), tensor(0.0374))"
